B_Geeves 1 10 11
GA_Rogers 2 32 50
SHT_Kandamby 30 815 1172
SB_Styris 55 1899 2363
N_Mushangwe 4 38 44
H_Durham 1 4 14
AR_Pitcher 1 30 55
TLW_Cooper 9 233 347
Raqibul_Hasan 48 1177 1910
SM_Boland 1 2 12
Fawad_Alam 35 966 1321
Mohammad_Salman 3 22 40
NM_Carter 1 0 6
JM_Kemp 24 574 804
TM_Dowlin 10 228 362
WTS_Porterfield 46 1347 2152
Yuvraj_Singh 125 4109 4833
Mohammad_Nabi 32 786 972
Abdur_Rehman 22 132 234
Tushar_Imran 5 29 98
Sharafuddin_Ashraf 3 18 20
DS_Smith 34 824 1149
SW_Masakadza 10 125 134
RP_Arnold 15 233 315
J_Louw 1 23 7
MS_Dhoni 190 7029 8290
TM_Dilshan 206 7930 9178
AJ_Strauss 74 2439 3083
SR_Waters 7 67 147
Nasir_Jamal 4 136 222
Fayyaz_Ahmed 2 43 88
F_Kasteni 2 9 24
GO_Jones 6 94 84
A_Shahzad 7 34 60
S_Prasanna 21 193 246
SCJ_Broad 63 500 677
WP_Saha 4 25 37
Danish_Kaneria 1 6 4
Nazmul_Hossain 5 5 25
Mahbubul_Alam 2 81 72
MN_van_Wyk 15 408 609
Nadeem_Ahmed 3 8 24
NJ_O'Brien 43 1230 1786
WW_Hinds 9 108 277
A_Balbirnie 16 403 582
BA_Parchment 6 107 198
JNK_Shannon 1 2 8
Mohammad_Yousuf 62 2281 3044
PA_Jaques 2 4 25
Z_Khan 39 328 535
DJ_Reekers 5 38 38
PA_Desai 1 2 12
A_Kumble 5 8 34
SE_Bond 20 140 195
GM_Strydom 1 4 22
OO_Bascome 1 17 47
EHSN_Silva 1 7 14
Ahmed_Shehzad 73 2468 3467
SR_Thompson 9 169 184
BP_Loots 3 15 23
Tanwir_Afzal 2 8 8
ML_Nkala 2 14 26
Sharjeel_Khan 11 194 246
Netherlands_avg 171 3158 4642
AD_Russell 42 948 721
DT_Tiripano 5 24 44
South_Africa_avg 1565 44617 52047
SS_Cottrell 2 3 10
Babar_Azam 8 321 361
JW_Hastings 13 180 189
BP_Kruger 1 8 12
R_Ashwin 53 579 713
SA_Abbott 1 3 7
PG_Gillespie 2 2 11
PR_Stirling 35 886 931
IPP_Batuwitarachchi 2 14 51
GEF_Barnett 5 95 185
JH_Stander 3 34 49
CL_White 70 1966 2457
Khalid_Latif 5 147 233
YK_Pathan 40 796 728
IS_Billcliff 4 76 135
Imran_Nazir 15 435 453
Kenya_avg 257 4463 6917
CK_Hooper 2 4 3
Imran_Farhat 31 902 1389
TWM_Latham 34 862 1146
AM_Rahane 60 1981 2517
F_Mutizwa 10 183 282
W_Barresi 12 396 536
Abdul_Shakoor 1 24 42
AU_Rashid 17 294 270
Gulbadin_Naib 7 164 155
AC_Cummins 3 21 23
RD_McCann 2 23 57
KM_Jadhav 4 146 140
Amjad_Javed 7 180 213
MQ_Sheikh 2 6 21
Mashrafe_Mortaza 74 845 1087
AS_Luseno 1 0 1
CD_McMillan 18 557 621
SM_Davies 8 244 239
RML_Taylor 10 107 132
MA_Wood 3 26 29
M_Vijay 16 339 516
JPR_Lamsam 1 16 30
DP_Hyatt 9 112 189
BA_Westdijk 2 0 3
SC_Ganguly 28 1129 1617
K_Kamyuka 1 2 2
JOA_Gordon 3 6 25
MD_Gunathilaka 5 117 140
MS_Tshabalala 1 2 3
H_Patel 9 142 161
Sohail_Tanvir 38 399 468
JL_Denly 9 268 418
DR_Tuffey 12 149 131
Mohammad_Naveed 7 105 100
AP_Devcich 8 177 241
DI_Joyce 3 29 61
NFI_McCallum 10 258 380
Aftab_Ahmed 38 716 988
MJ_Mason 4 7 27
SG_Borthwick 2 18 16
D_Murphy 2 9 28
GB_Brent 15 165 261
AJ_Redmond 6 152 266
C_Kieswetter 36 967 1102
Abdul_Razzaq 42 836 1014
S_Tyagi 1 1 2
BM_Wheeler 4 58 47
FRJ_Coleman 9 162 233
Nazimuddin 11 147 246
GR_Codrington 6 80 123
HM_Nicholls 8 215 291
NV_Ojha 1 1 9
Irfan_Sajid 1 2 5
K_Weeraratne 3 78 93
