Australia Bangladesh SE_Marsh JR_Hopes MJ_Clarke MEK_Hussey DJ_Hussey BJ_Haddin CL_White MG_Johnson Australia_avg Australia_avg Australia_avg CL_White MJ_Clarke B_Geeves NW_Bracken MG_Johnson Tamim_Iqbal Mehrab_Hossain_jnr Mohammad_Ashraful Raqibul_Hasan Shakib_Al_Hasan Alok_Kapali Dhiman_Ghosh Abdur_Razzak Mashrafe_Mortaza Nazmul_Hossain Shahadat_Hossain Alok_Kapali Shahadat_Hossain Nazmul_Hossain Shakib_Al_Hasan Abdur_Razzak 1
Sri_Lanka England WU_Tharanga ST_Jayasuriya KC_Sangakkara DPMD_Jayawardene LPC_Silva TM_Dilshan J_Mubarak MF_Maharoof WPUJC_Vaas Sri_Lanka_avg Sri_Lanka_avg ST_Jayasuriya TM_Dilshan WPUJC_Vaas SL_Malinga CRD_Fernando AN_Cook P_Mustard IR_Bell KP_Pietersen PD_Collingwood OA_Shah RS_Bopara GP_Swann SCJ_Broad RJ_Sidebottom JM_Anderson OA_Shah JM_Anderson GP_Swann PD_Collingwood SCJ_Broad 1
Scotland Netherlands NS_Poonia RR_Watson RM_Haq GM_Hamilton DR_Brown NFI_McCallum CJO_Smith CM_Wright JAR_Blain GA_Rogers PJC_Hoffmann GA_Rogers PJC_Hoffmann RM_Haq CM_Wright DR_Brown B_Zuiderent DJ_Reekers ES_Szwarczynski RN_ten_Doeschate Netherlands_avg Netherlands_avg Netherlands_avg Netherlands_avg Netherlands_avg Netherlands_avg Netherlands_avg DLS_van_Bunge RN_ten_Doeschate TBM_de_Leede MBS_Jonkman DJ_Reekers 0
India Sri_Lanka G_Gambhir SK_Raina V_Kohli Yuvraj_Singh RG_Sharma MS_Dhoni IK_Pathan Harbhajan_Singh Z_Khan PP_Ojha MM_Patel SK_Raina RG_Sharma PP_Ojha Harbhajan_Singh Z_Khan ST_Jayasuriya KC_Sangakkara DPMD_Jayawardene CK_Kapugedera Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg ST_Jayasuriya T_Thushara KMDN_Kulasekara WPUJC_Vaas BAW_Mendis 0
Australia West_Indies SR_Watson PJ_Hughes AJ_Finch SE_Marsh AC_Voges BJ_Haddin JP_Faulkner Australia_avg Australia_avg Australia_avg Australia_avg AJ_Finch XJ_Doherty BCJ_Cutting JP_Faulkner MG_Johnson J_Charles KOA_Powell DM_Bravo DJ_Bravo KA_Pollard N_Deonarine DC_Thomas DJG_Sammy SP_Narine KAJ_Roach TL_Best KA_Pollard DJ_Bravo DJG_Sammy SP_Narine KAJ_Roach 1
India Sri_Lanka V_Sehwag G_Gambhir V_Kohli Yuvraj_Singh MS_Dhoni SK_Raina RA_Jadeja Harbhajan_Singh Z_Khan A_Nehra S_Sreesanth A_Nehra V_Kohli RA_Jadeja Yuvraj_Singh S_Sreesanth WU_Tharanga KC_Sangakkara TM_Dilshan DPMD_Jayawardene TT_Samaraweera SHT_Kandamby S_Randiv NLTC_Perera Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg TM_Dilshan T_Thushara NLTC_Perera S_Randiv UWMBCA_Welegedara 0
Ireland Netherlands WTS_Porterfield PR_Stirling EC_Joyce NJ_O'Brien GC_Wilson KJ_O'Brien JF_Mooney DT_Johnston AR_Cusack GH_Dockrell TJ_Murtagh AR_Cusack JF_Mooney DT_Johnston TJ_Murtagh GH_Dockrell SJ_Myburgh ES_Szwarczynski W_Barresi TLW_Cooper MR_Swart DLS_van_Bunge PW_Borren Mudassar_Bukhari MJG_Rippon E_Schiferli MAA_Jamil MJG_Rippon MR_Swart TLW_Cooper E_Schiferli MAA_Jamil 1
Sri_Lanka Pakistan WU_Tharanga TM_Dilshan KC_Sangakkara LD_Chandimal DPMD_Jayawardene AD_Mathews CKB_Kulasekara S_Prasanna SL_Malinga RAS_Lakmal CRD_Fernando CKB_Kulasekara RAS_Lakmal S_Prasanna SL_Malinga CRD_Fernando Mohammad_Hafeez Imran_Farhat Younis_Khan Sarfraz_Ahmed Pakistan_avg Pakistan_avg Pakistan_avg Pakistan_avg Pakistan_avg Pakistan_avg Pakistan_avg Aizaz_Cheema Umar_Gul Abdul_Razzaq Saeed_Ajmal Mohammad_Hafeez 0
West_Indies Sri_Lanka CH_Gayle AB_Barath DM_Bravo RR_Sarwan DJ_Bravo KA_Pollard CS_Baugh DJG_Sammy NO_Miller R_Rampaul KAJ_Roach KA_Pollard CH_Gayle DJ_Bravo NO_Miller R_Rampaul WU_Tharanga TM_Dilshan KC_Sangakkara DPMD_Jayawardene Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg Sri_Lanka_avg AD_Mathews TM_Dilshan HMRKB_Herath KMDN_Kulasekara SL_Malinga 0
India Sri_Lanka RG_Sharma S_Dhawan V_Kohli AM_Rahane AT_Rayudu KD_Karthik RA_Jadeja STR_Binny R_Ashwin B_Kumar Mohammed_Shami AT_Rayudu STR_Binny RG_Sharma B_Kumar R_Ashwin MDKJ_Perera HDRL_Thirimanne KC_Sangakkara DPMD_Jayawardene LD_Chandimal AD_Mathews SMSM_Senanayake PC_de_Silva NLTC_Perera BAW_Mendis Sri_Lanka_avg AD_Mathews NLTC_Perera SMSM_Senanayake PC_de_Silva SL_Malinga 0
New_Zealand Australia MJ_Guptill BB_McCullum KS_Williamson HM_Nicholls GD_Elliott CJ_Anderson L_Ronchi MJ_Santner AF_Milne MJ_Henry New_Zealand_avg MJ_Santner GD_Elliott CJ_Anderson AF_Milne MJ_Henry SE_Marsh DA_Warner SPD_Smith GJ_Bailey GJ_Maxwell MS_Wade MR_Marsh JP_Faulkner JW_Hastings KW_Richardson Australia_avg GJ_Maxwell MR_Marsh KW_Richardson JP_Faulkner JW_Hastings 1
India Bangladesh V_Sehwag SR_Tendulkar G_Gambhir V_Kohli YK_Pathan India_avg India_avg India_avg India_avg India_avg India_avg S_Sreesanth Yuvraj_Singh YK_Pathan MM_Patel Harbhajan_Singh Tamim_Iqbal Imrul_Kayes Junaid_Siddique Shakib_Al_Hasan Mushfiqur_Rahim Raqibul_Hasan Mahmudullah Naeem_Islam Abdur_Razzak Shafiul_Islam Rubel_Hossain Naeem_Islam Shafiul_Islam Mahmudullah Abdur_Razzak Shakib_Al_Hasan 1
New_Zealand India MJ_Guptill BB_McCullum KS_Williamson LRPL_Taylor SB_Styris JEC_Franklin DL_Vettori GJ_Hopkins NL_McCullum KD_Mills New_Zealand_avg JEC_Franklin KD_Mills SB_Styris AJ_McKay NL_McCullum M_Vijay G_Gambhir V_Kohli India_avg India_avg India_avg India_avg India_avg India_avg India_avg India_avg RA_Jadeja A_Nehra YK_Pathan Z_Khan R_Ashwin 0
