AF_Milne 30 1218 32 1437
EJ_Richardson 1 15 0 18
AB_Dinda 13 618 14 613
PW_Borren 14 465 10 549
IE_O'Brien 7 353 13 359
JD_Ryder 14 328 9 331
IDR_Bradshaw 18 735 25 1023
Y_Punja 1 50 0 39
RV_Uthappa 1 0 0 2
MM_Sharma 25 1033 34 1153
Zakiullah_Zaki 1 27 0 26
Shafiul_Islam 51 2133 61 2191
MA_Starc 44 1822 96 2262
MN_Waller 23 376 6 424
Shoaib_Akhtar 33 1478 46 1718
I_Sharma 73 3478 118 3691
MS_Panesar 26 1000 30 1314
AJ_Finch 6 48 2 56
JD_Unadkat 6 184 9 278
BJ_Hodge 2 35 1 48
Rajin_Saleh 2 26 5 40
AR_White 15 238 8 310
GA_Lamb 15 474 15 659
IA_Nicolson 1 74 1 44
KT_Sandher 4 172 6 213
Shahid_Afridi 165 6812 214 8812
SD_Parry 2 94 4 116
LL_Tsotsobe 57 2304 102 2937
JK_Kamande 17 583 13 681
U_Bhatti 11 350 12 516
PM_Seelaar 13 493 17 608
Zulfiqar_Babar 5 247 4 297
PA_van_Meekeren 1 25 0 24
DW_Steyn 105 4474 185 5558
Zaheer_Maqsood 1 58 2 60
Anshuman_Rath 1 23 3 61
Aftab_Alam 7 287 18 351
CJ_McKay 53 2310 100 2841
CRD_Fernando 52 2173 79 2575
SPD_Smith 35 928 28 1026
GH_Bodi 1 8 0 6
IR_Bell 5 80 3 70
DR_Briggs 1 42 2 61
JW_Dernbach 23 1283 30 1228
C_Munro 4 43 0 54
MF_Maharoof 53 2016 75 2446
Robiul_Islam 3 123 2 140
Mudassar_Bukhari 14 516 16 603
A_Shamshudeen 1 24 0 18
JE_Taylor 59 2707 103 3097
JEC_Franklin 55 1854 45 2145
LJ_Wright 34 883 16 1025
RR_Rossouw 3 44 1 46
Hashmatullah_Shaidi 1 17 0 12
PL_Harris 3 89 3 183
Junaid_Siddique 2 13 0 13
S_Dhaniram 11 408 23 552
Zain_Abbas 1 56 1 38
Rizwan_Ahmed 1 26 0 26
